X,Y,PK_RANDOM_SAMPLE_LOCATION,REPORTING_UNIT,WATERBODY_TYPE,WATERBODY_NAME,CAN_BE_SAMPLED,LAT_DD,LAT_MM,LAT_SS,LONG_DD,LONG_MM,LONG_SS,PUBLIC_LAND_SURVEY_COORDINATES,COUNTY_NAME,QUARTER_QUAD_MAP_NUMBER,HYDROLOGIC_UNIT_NAME,COMMENTS,OBJECTID
-81.82254862,30.57502791,SJA-LS-1065,SJRWMD-A,LOW-ORDER,,No,30,34,29.28,81,49,21.72,T   2  N; R  25 E; Sect  ,NASSAU,CALLAHAN -  5315NW,NASSAU RIVER,"Outfall of Callahan Waste Treatment Facility is 200m upstream of site, with an output of ~200,000 ga",18829
-81.7378459,30.72482355,SJA-LS-1066,SJRWMD-A,LOW-ORDER,,No,30,43,28.56,81,44,16.8,T   4  N; R  26 E; Sect  ,NASSAU,GROSS -  5414NW,ST MARYS RIVER,"Incorrect resource type dry swamp between streams, Last modified by:    ",18830
-81.88225012,30.73782335,SJA-LS-1067,SJRWMD-A,LOW-ORDER,,No,30,44,15.36,81,52,56.64,T   4  N; R  24 E; Sect  ,NASSAU,HILLIARD -  5416NE,ST MARYS RIVER,Landowner refused to grant permission trib to LSMR Last modified by: cc   ,18831
-81.96365283,30.51982965,SJA-LS-1068,SJRWMD-A,LOW-ORDER,,No,30,31,10.56,81,57,49.68,T   1  N; R  23 E; Sect  ,NASSAU,HILLIARD SW -  5316SW,ST MARYS RIVER,Landowner refused to grant permission trib to Mill Cr. Last modified by: cc   ,18832
-81.85344965,30.48823043,SJA-LS-1069,SJRWMD-A,LOW-ORDER,,No,30,29,16.8,81,51,12.96,T   1  N; R  24 E; Sect  ,NASSAU,DINSMORE -  5215NW,NASSAU RIVER,Landowner refused to grant permissiontrib to Ben Branch Last modified by:  cc  ,18833
-81.88485065,30.43563198,SJA-LS-1070,SJRWMD-A,LOW-ORDER,,Yes,30,26,7.44,81,53,6,T   1  S; R  24 E; Sect  ,NASSAU,BRYCEVILLE -  5216SE,NASSAU RIVER,Trib. to Thomas Creek 10/3/01  Last modified by: cc   ,18834
-81.21833893,29.51437877,SJ7-SS-2114,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,30,51.7435,81,13,6.009,T  11    S R  31    E 30,FLAGLER,q4510sw,"EAST COAST, UPPER",,18844
-81.30756063,29.7752892,SJ7-SS-2115,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,46,31.0208,81,18,27.207,T   8    S R  30    E 29,ST. JOHNS,q4711se,"EAST COAST, UPPER",,18845
-81.0615899,29.17344684,SJ7-SS-2116,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,10,24.3888,81,3,41.7127,T  15    S R  32    E 26,VOLUSIA,q4209se,"EAST COAST, UPPER",,18846
-81.05922234,29.02250972,SJ7-SS-2117,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,1,21.0153,81,3,33.1895,T  17    S R  32    E 14,VOLUSIA,q4109se,"EAST COAST, UPPER",,18847
-81.35426409,29.66039492,SJ7-SS-2118,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,39,37.4015,81,21,15.3394,T  10    S R  29    E 2,ST. JOHNS,q4611sw,"EAST COAST, UPPER",,18848
-81.33923897,29.79906087,SJ7-SS-2119,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,47,56.5988,81,20,21.249,T   8    S R  29    E 24,ST. JOHNS,q4711sw,"EAST COAST, UPPER",,18849
-81.07209865,29.14466969,SJ7-SS-2120,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,8,40.7911,81,4,19.5442,T  16    S R  32    E 2,VOLUSIA,q4209sw,"EAST COAST, UPPER",,18850
-81.17124496,29.27279064,SJ7-SS-2121,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,16,22.0264,81,10,16.4708,T  14    S R  31    E 21,FLAGLER,q4310se,"EAST COAST, UPPER",,18851
-81.22196543,29.61444891,SJ7-SS-2122,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,36,51.9959,81,13,19.0644,T  10    S R  31    E 0,FLAGLER,q4510nw,"EAST COAST, UPPER",,18852
-82.12815804,30.25343752,SJA-LS-1071,SJRWMD-A,LOW-ORDER,,No,30,15,11.52,82,7,41.88,T   3  S; R  22 E; Sect  ,BAKER,MACCLENNY WEST -  5118SE,ST MARYS RIVER,Dry site trib to Turkey Cr.   Last modified by: cc   ,18863
-81.77644726,30.57802777,SJA-LS-1072,SJRWMD-A,LOW-ORDER,,No,30,34,40.08,81,46,35.76,T   2  N; R  25 E; Sect  ,NASSAU,CALLAHAN -  5315NE,NASSAU RIVER,Landowner refused to grant permission trib to Alligator Cr. Last modified by: cc   ,18864
-82.1640591,30.2451378,SJA-LS-1073,SJRWMD-A,LOW-ORDER,,Yes,30,14,41.64,82,9,51.12,T   3  S; R  21 E; Sect  ,BAKER,MANNING -  5018NE,ST MARYS RIVER,unknown creek at Manntown 10/3/01  Last modified by: cc   ,18865
-81.90415069,30.78382208,SJA-LS-1074,SJRWMD-A,LOW-ORDER,,No,30,47,0.96,81,54,15.48,T   4  N; R  24 E; Sect  ,NASSAU,BOULOGNE (GA) -  5516SE,ST MARYS RIVER,Landowner refused to grant permission trib to SMR Last modified by: cc   ,18866
-81.88465009,30.79922162,SJA-LS-1075,SJRWMD-A,LOW-ORDER,,Yes,30,47,56.4,81,53,5.28,T   4  N; R  24 E; Sect  ,NASSAU,BOULOGNE (GA) -  5516SE,ST MARYS RIVER,unknown trib to St. Marys River 10/4/01   Last modified by: cbc   ,18867
-81.9883534,30.62512667,SJA-LS-1076,SJRWMD-A,LOW-ORDER,,No,30,37,29.64,81,59,18.6,T   3  N; R  23 E; Sect  ,NASSAU,HILLIARD SW -  5316NW,ST MARYS RIVER,Dry site trib to Deep Cr.   Last modified by: cc   ,18868
-81.808948,30.71252399,SJA-LS-1077,SJRWMD-A,LOW-ORDER,,No,30,42,44.28,81,48,32.76,T   3  N; R  25 E; Sect  ,NASSAU,HILLIARD NE -  5415NE,ST MARYS RIVER,Landowner refused to grant permission trib to LSMR  Last modified by: cc   ,18869
-82.07075629,30.30173606,SJA-LS-1078,SJRWMD-A,LOW-ORDER,,No,30,18,5.4,82,4,15.24,T   2  S; R  22 E; Sect  ,BAKER,MACCLENNY EAST -  5117SW,ST MARYS RIVER,Landowner refused to grant permission trib to Deep Cr. Last modified by: cc   ,18870
-81.93795206,30.53572917,SJA-LS-1079,SJRWMD-A,LOW-ORDER,,No,30,32,7.8,81,56,17.16,T   1  N; R  24 E; Sect  ,NASSAU,HILLIARD SW -  5316SW,ST MARYS RIVER,Landowner refused to grant permission trib to Mill Cr. Last modified by: cc   ,18871
-81.35157835,30.11915789,SJ7-SS-2123,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,30,7,8.9478,81,21,5.6707,0,ST. JOHNS,q4911nw,"EAST COAST, UPPER",,18881
-81.09409513,29.28139792,SJ7-SS-2124,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,16,53.0126,81,5,38.7315,T  14    S R  32    E 20,VOLUSIA,q4309sw,"EAST COAST, UPPER",,18882
-81.36746666,29.9970648,SJ7-SS-2125,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,59,49.4128,81,22,2.8686,0,ST. JOHNS,q4811nw,"EAST COAST, UPPER",,18883
-81.20653904,29.50933283,SJ7-SS-2126,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,30,33.5781,81,12,23.5294,T  11    S R  31    E 32,FLAGLER,q4510sw,"EAST COAST, UPPER",,18884
-81.29488199,29.71890346,SJ7-SS-2127,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,43,8.0322,81,17,41.5639,0,ST. JOHNS,q4611ne,"EAST COAST, UPPER",,18885
-81.07645299,29.20583518,SJ7-SS-2128,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,12,20.9868,81,4,35.2198,T  15    S R  32    E 14,VOLUSIA,q4209nw,"EAST COAST, UPPER",,18886
-81.06795284,29.09407907,SJ7-SS-2129,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,5,38.6649,81,4,4.6193,T  16    S R  32    E 23,VOLUSIA,q4109nw,"EAST COAST, UPPER",,18887
-81.17167054,29.25677924,SJ7-SS-2130,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,15,24.3854,81,10,18.0029,T  14    S R  31    E 28,VOLUSIA,q4310se,"EAST COAST, UPPER",,18888
-81.28450798,29.56634417,SJ7-SS-2131,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,33,58.8189,81,17,4.2175,T  11    S R  30    E 9,FLAGLER,q4511ne,"EAST COAST, UPPER",,18889
-81.98925343,30.62532667,SJA-LS-1080,SJRWMD-A,LOW-ORDER,,No,30,37,30.36,81,59,21.84,T   3  N; R  23 E; Sect  ,NASSAU,HILLIARD -  5416SW,ST MARYS RIVER,Dry site trib to Deep Creek  modified by:cc    ,18900
-81.9179517,30.38553346,SJA-LS-1081,SJRWMD-A,LOW-ORDER,,No,30,23,7.08,81,55,5.16,T   1  S; R  24 E; Sect  ,DUVAL,BRYCEVILLE -  5216SE,ST MARYS RIVER,Landowner refused to grant permission unknown swamp Last modified by: cbc   ,18901
-81.88025051,30.44423173,SJA-LS-1082,SJRWMD-A,LOW-ORDER,,No,30,26,38.4,81,52,49.44,T   1  S; R  24 E; Sect  ,NASSAU,BRYCEVILLE -  5216NE,NASSAU RIVER,Unsafe conditions trib to Thomas Cr.  Last modified by: cbc   ,18902
-82.21276036,30.36023452,SJA-LS-1083,SJRWMD-A,LOW-ORDER,,Yes,30,21,36,82,12,46.44,T   1  S; R  21 E; Sect  ,BAKER,MACCLENNY WEST -  5118NW,ST MARYS RIVER,Daugherty Creek Sampled 10/10/01   Last modified by: cbc   ,18903
-81.93795194,30.61612687,SJA-LS-1084,SJRWMD-A,LOW-ORDER,,No,30,36,57.24,81,56,17.16,T   2  N; R  24 E; Sect  ,NASSAU,HILLIARD SW -  5316NW,NASSAU RIVER,Site not assessible within time limit Alligator Cr.  Last modified by: cbc   ,18904
-81.89995111,30.42463231,SJA-LS-1085,SJRWMD-A,LOW-ORDER,,Yes,30,25,27.84,81,54,0.36,T   1  S; R  24 E; Sect  ,NASSAU,BRYCEVILLE -  5216SE,NASSAU RIVER,Unknown Trib to Thomas Creek 10/3/01  Last modified by: cbc   ,18905
-81.94775257,30.38433353,SJA-LS-1086,SJRWMD-A,LOW-ORDER,,No,30,23,2.76,81,56,52.44,T   1  S; R  24 E; Sect  ,NASSAU,BRYCEVILLE -  5216SW,ST MARYS RIVER,Dry site trib to Brandy Br.   Last modified by: cbc   ,18906
-82.13895836,30.25003763,SJA-LS-1087,SJRWMD-A,LOW-ORDER,,No,30,14,59.28,82,8,20.76,T   3  S; R  22 E; Sect  ,BAKER,MANNING -  5018NE,ST MARYS RIVER,Dry site maybe incorrect resource type trib to Turkey Cr. impounded see 1019 site   Last modified by,18907
-82.28746278,30.19343944,SJA-LS-1088,SJRWMD-A,LOW-ORDER,,No,30,11,35.52,82,17,15.36,T   3  S; R  20 E; Sect  ,BAKER,SANDERSON SOUTH -  5019NE,ST MARYS RIVER,Dry site trib to SPSMR   Last modified by: cbc   ,18908
-81.37874292,30.232563,SJ7-SS-2132,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,30,13,57.2061,81,22,43.4631,T   3    S R  29    E 22,ST. JOHNS,q5012ne,"EAST COAST, UPPER",,18918
-81.1162995,29.36505055,SJ7-SS-2133,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,21,54.162,81,6,58.6672,T  13    S R  32    E 0,VOLUSIA,q4309nw,"EAST COAST, UPPER",,18919
-81.2228951,29.49019169,SJ7-SS-2134,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,29,24.67,81,13,22.4112,T  12    S R  31    E 6,FLAGLER,q4410nw,"EAST COAST, UPPER",,18920
-81.00670363,29.04407025,SJ7-SS-2135,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,2,38.6332,81,0,24.1222,T  17    S R  33    E 9,VOLUSIA,q4109se,"EAST COAST, UPPER",,18921
-81.04899206,29.05367861,SJ7-SS-2136,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,3,13.2233,81,2,56.3605,T  17    S R  32    E 1,VOLUSIA,q4109se,"EAST COAST, UPPER",,18922
-81.29730343,29.62952624,SJ7-SS-2137,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,37,46.2743,81,17,50.2811,T  10    S R  30    E 17,FLAGLER,q4611se,"EAST COAST, UPPER",,18923
-81.36065604,29.81670648,SJ7-SS-2138,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,49,0.123,81,21,38.3504,T   8    S R  29    E 10,ST. JOHNS,q4711nw,"EAST COAST, UPPER",,18924
-81.05743426,29.0783312,SJ7-SS-2139,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,4,41.9726,81,3,26.7524,T  16    S R  32    E 25,VOLUSIA,q4109ne,"EAST COAST, UPPER",,18925
-81.16068791,29.43541415,SJ7-SS-2140,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,26,7.4709,81,9,38.4654,T  12    S R  31    E 27,FLAGLER,q4410se,"EAST COAST, UPPER",,18926
-82.29346281,30.29923637,SJA-LS-1089,SJRWMD-A,LOW-ORDER,,No,30,17,56.4,82,17,36.96,T   2  S; R  20 E; Sect  ,BAKER,SANDERSON NORTH -  5119SE,ST MARYS RIVER,Dry site trib to Cedar Cr.  Last modified by: cbc   ,18938
-81.95365275,30.38253359,SJA-LS-1090,SJRWMD-A,LOW-ORDER,,No,30,22,56.28,81,57,13.68,T   1  S; R  23 E; Sect  ,NASSAU,BRYCEVILLE -  5216SW,ST MARYS RIVER,Dry site trib to Brandy Br.  Last modified by: cbc   ,18939
-82.11735758,30.35183466,SJA-LS-1091,SJRWMD-A,LOW-ORDER,,No,30,21,5.76,82,7,3,T   2  S; R  22 E; Sect  ,BAKER,MACCLENNY EAST -  5117NW,ST MARYS RIVER,Landowner refused to grant permission Bay Branch Last modified by: cbc   ,18940
-82.29186276,30.29883638,SJA-LS-1092,SJRWMD-A,LOW-ORDER,,No,30,17,54.96,82,17,31.2,T   2  S; R  20 E; Sect  ,BAKER,SANDERSON NORTH -  5119SE,ST MARYS RIVER,Dry site trib to Cedar Cr.  Last modified by:   cbc ,18941
-81.968553,30.50763001,SJA-LS-1093,SJRWMD-A,LOW-ORDER,,No,30,30,26.64,81,58,7.32,T   1  N; R  23 E; Sect  ,NASSAU,HILLIARD SW -  5316SW,ST MARYS RIVER,Landowner refused to grant permission trib to Mill Cr.  Last modified by:  cbc  ,18942
-81.89715099,30.45443145,SJA-LS-1094,SJRWMD-A,LOW-ORDER,,No,30,27,15.12,81,53,50.28,T   1  N; R  24 E; Sect  ,NASSAU,BRYCEVILLE -  5216NE,NASSAU RIVER,Landowner refused to grant permission trib to Thomas cr. Last modified by: cbc   ,18943
-81.96415277,30.57122818,SJA-LS-1095,SJRWMD-A,LOW-ORDER,,Yes,30,34,15.6,81,57,51.48,T   2  N; R  23 E; Sect  ,NASSAU,HILLIARD SW -  5316NW,ST MARYS RIVER,unnammed trib to Mill Creek  Sampled 10/18/01 Last modified by:cbc    ,18944
-81.84424922,30.59802728,SJA-LS-1096,SJRWMD-A,LOW-ORDER,,No,30,35,52.08,81,50,39.84,T   2  N; R  25 E; Sect  ,NASSAU,CALLAHAN -  5315NW,NASSAU RIVER,Dry site trib to Little Mills Cr.  Last modified by:  cbc  ,18945
-81.75194634,30.70542412,SJA-LS-1097,SJRWMD-A,LOW-ORDER,,Yes,30,42,18.72,81,45,7.56,T   3  N; R  26 E; Sect  ,NASSAU,HILLIARD NE -  5415NE,ST MARYS RIVER,Little St. Marys River 10/23/01  Last modified by:cbc    ,18946
-81.14963149,29.32796245,SJ7-SS-2001,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,19,40.6449,81,8,58.6623,T  13    S R  31    E 35,VOLUSIA,q4310ne,"EAST COAST, UPPER",Canal does not flow to state waters,18951
-81.17894442,29.49810877,SJ7-SS-2002,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,29,53.1715,81,10,44.1888,0,FLAGLER,q4410ne,"EAST COAST, UPPER",,18952
-81.32452422,29.76805769,SJ7-SS-2003,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,46,4.9874,81,19,28.2759,0,ST. JOHNS,q4711sw,"EAST COAST, UPPER",,18953
-81.06098718,29.24539733,SJ7-SS-2004,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,14,43.4105,81,3,39.5429,0,VOLUSIA,q4209ne,"EAST COAST, UPPER",Canal does not flow to state waters,18954
-81.30246529,29.64951489,SJ7-SS-2005,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,38,58.2334,81,18,8.8638,0,ST. JOHNS,q4611se,"EAST COAST, UPPER",,18955
-81.2196884,29.56260609,SJ7-SS-2141,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,33,45.3618,81,13,10.8671,T  11    S R  31    E 7,FLAGLER,q4510nw,"EAST COAST, UPPER",,18956
-81.06982182,29.25415508,SJ7-SS-2142,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,15,14.9384,81,4,11.3476,0,VOLUSIA,q4309sw,"EAST COAST, UPPER",,18957
-81.38441504,29.76700689,SJ7-SS-2143,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,46,1.2045,81,23,3.8828,T   8    S R  29    E 33,ST. JOHNS,q4712se,"EAST COAST, UPPER",,18958
-81.29494815,29.62105335,SJ7-SS-2144,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,37,15.7719,81,17,41.8021,T  10    S R  30    E 20,FLAGLER,q4511ne,"EAST COAST, UPPER",,18959
-81.27047181,29.67164545,SJ7-SS-2145,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,40,17.9034,81,16,13.6873,T   9    S R  30    E 0,ST. JOHNS,q4611se,"EAST COAST, UPPER",,18960
-80.9869839,29.10825546,SJ7-SS-2146,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,6,29.6999,80,59,13.1312,T  16    S R  33    E 15,VOLUSIA,q4108nw,"EAST COAST, UPPER",,18961
-81.29493481,29.56758709,SJ7-SS-2147,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,34,3.2934,81,17,41.7541,T  11    S R  30    E 8,FLAGLER,q4511ne,"EAST COAST, UPPER",,18962
-81.04003045,29.12265921,SJ7-SS-2148,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,7,21.5534,81,2,24.0987,T  16    S R  33    E 7,VOLUSIA,q4109ne,"EAST COAST, UPPER",,18963
-81.10640456,29.32324743,SJ7-SS-2149,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,19,23.6708,81,6,23.0454,T  14    S R  32    E 6,VOLUSIA,q4309nw,"EAST COAST, UPPER",,18964
-81.90585093,30.6597256,SJA-LS-1098,SJRWMD-A,LOW-ORDER,,No,30,39,34.2,81,54,21.6,T   3  N; R  24 E; Sect  ,NASSAU,HILLIARD -  5416SE,ST MARYS RIVER,Dry site unnammed trib of LSMR  Last modified by:cbc    ,18975
-81.93555188,30.60682714,SJA-LS-1099,SJRWMD-A,LOW-ORDER,,No,30,36,23.76,81,56,8.52,T   2  N; R  24 E; Sect  ,NASSAU,HILLIARD SW -  5316NE,NASSAU RIVER,Landowner refused to grant permission Alligator Cr.  Last modified by: cbc   ,18976
-81.91325094,30.79552176,SJA-LS-1100,SJRWMD-A,LOW-ORDER,,No,30,47,43.08,81,54,48.24,T   4  N; R  24 E; Sect  ,NASSAU,BOULOGNE (GA) -  5516SE,ST MARYS RIVER,Landowner refused to grant permission trib to SMR  Last modified by: cbc   ,18977
-81.34234853,29.8289016,SJ7-SS-2006,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,49,44.0254,81,20,32.4434,T   8    S R  29    E 12,ST. JOHNS,q4711nw,"EAST COAST, UPPER",,18985
-81.07964974,29.14802777,SJ7-SS-2007,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,8,52.8802,81,4,46.7281,T  16    S R  32    E 3,VOLUSIA,q4209sw,"EAST COAST, UPPER",,18986
-81.14804507,29.29037153,SJ7-SS-2008,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,17,25.3176,81,8,52.9512,T  14    S R  31    E 14,VOLUSIA,q4310se,"EAST COAST, UPPER",,18987
-81.22602021,29.57789326,SJ7-SS-2009,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,34,40.3956,81,13,33.6616,T  11    S R  30    E 1,FLAGLER,q4510nw,"EAST COAST, UPPER",,18988
-81.35832144,30.14488228,SJ7-SS-2010,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,30,8,41.5556,81,21,29.9458,0,ST. JOHNS,q5011sw,"EAST COAST, UPPER",Canal was in Lake Ponte Vedra-Historic Titanium Mine,18989
-81.27352389,29.55309178,SJ7-SS-2011,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,33,11.1103,81,16,24.6748,T  11    S R  30    E 16,FLAGLER,q4511se,"EAST COAST, UPPER",Canal does not flow to state waters,18990
-81.01921494,29.04123964,SJ7-SS-2012,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,2,28.443,81,1,9.1629,T  17    S R  33    E 8,VOLUSIA,q4109se,"EAST COAST, UPPER",Canal does not flow to state waters,18991
-81.20947776,29.537364,SJ7-SS-2013,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,32,14.4903,81,12,34.1088,T  11    S R  31    E 19,FLAGLER,q4510sw,"EAST COAST, UPPER",,18992
-81.25254955,29.631627,SJ7-SS-2014,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,37,53.837,81,15,9.1672,T  10    S R  30    E 14,FLAGLER,q4611se,"EAST COAST, UPPER",,18993
-81.42871125,29.90491894,SJ7-SS-2150,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,54,17.6878,81,25,43.3491,T   7    S R  29    E 7,ST. JOHNS,q4812se,"EAST COAST, UPPER",,18994
-81.19975842,29.49063174,SJ7-SS-2151,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,29,26.2542,81,11,59.1192,T  12    S R  31    E 5,FLAGLER,q4410nw,"EAST COAST, UPPER",,18995
-80.98797676,29.09991099,SJ7-SS-2152,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,5,59.6598,80,59,16.7055,T  16    S R  33    E 22,VOLUSIA,q4108nw,"EAST COAST, UPPER",,18996
-81.0199566,29.03558222,SJ7-SS-2153,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,2,8.0763,81,1,11.8329,T  17    S R  33    E 8,VOLUSIA,q4109se,"EAST COAST, UPPER",,18997
-81.36036473,29.66100967,SJ7-SS-2154,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,39,39.6146,81,21,37.3017,T  10    S R  29    E 3,ST. JOHNS,q4611sw,"EAST COAST, UPPER",,18998
-81.29873488,29.79229725,SJ7-SS-2155,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,47,32.2498,81,17,55.4343,0,ST. JOHNS,q4711se,"EAST COAST, UPPER",,18999
-81.02384897,29.08961335,SJ7-SS-2156,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,5,22.5883,81,1,25.8454,T  16    S R  33    E 29,VOLUSIA,q4109ne,"EAST COAST, UPPER",,19000
-81.15965985,29.41721153,SJ7-SS-2157,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,25,1.9415,81,9,34.7644,T  12    S R  31    E 34,FLAGLER,q4410se,"EAST COAST, UPPER",,19001
-81.18589867,29.54404275,SJ7-SS-2158,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,32,38.5338,81,11,9.2241,0,FLAGLER,q4510se,"EAST COAST, UPPER",,19002
-81.04520981,29.14412575,SJ7-SS-2015,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,8,38.8329,81,2,42.7444,T  16    S R  32    E 1,VOLUSIA,q4209se,"EAST COAST, UPPER",,19023
-81.24657338,29.5394305,SJ7-SS-2016,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,32,21.9297,81,14,47.653,T  11    S R  30    E 23,FLAGLER,q4510sw,"EAST COAST, UPPER",,19024
-81.14981537,29.33750051,SJ7-SS-2017,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,20,14.9819,81,8,59.3243,T  13    S R  31    E 35,VOLUSIA,q4310ne,"EAST COAST, UPPER",Canal or ditch does not flow to state waters,19025
-81.24379294,29.52000125,SJ7-SS-2018,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,31,11.9844,81,14,37.6434,T  11    S R  30    E 26,FLAGLER,q4510sw,"EAST COAST, UPPER",,19026
-80.97254334,29.0546062,SJ7-SS-2019,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,3,16.5626,80,58,21.1452,T  17    S R  33    E 2,VOLUSIA,q4108sw,"EAST COAST, UPPER",,19027
-81.05532973,29.05240786,SJ7-SS-2020,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,3,8.6486,81,3,19.1761,T  17    S R  32    E 1,VOLUSIA,q4109se,"EAST COAST, UPPER",Canal does not flow to state waters-blocked by sand mining operation,19028
-81.34630687,29.92756087,SJ7-SS-2021,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,55,39.1987,81,20,46.6934,0,ST. JOHNS,q4811sw,"EAST COAST, UPPER",,19029
-81.3243741,29.60876135,SJ7-SS-2022,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,36,31.5207,81,19,27.7355,T  10    S R  29    E 25,FLAGLER,q4511nw,"EAST COAST, UPPER",,19030
-81.32354792,29.84228618,SJ7-SS-2023,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,50,32.2099,81,19,24.7612,T   8    S R  30    E 6,ST. JOHNS,q4711nw,"EAST COAST, UPPER",,19031
-81.33604634,30.05298398,SJ7-SS-2159,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,30,3,10.7218,81,20,9.7555,  ,ST. JOHNS,q4911sw,"EAST COAST, UPPER",,19032
-81.13634837,29.30897539,SJ7-SS-2160,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,18,32.2915,81,8,10.8431,T  14    S R  31    E 11,VOLUSIA,q4310se,"EAST COAST, UPPER",,19033
-81.41731853,29.91517536,SJ7-SS-2161,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,No,29,54,54.6109,81,25,2.3353,T   7    S R  29    E 7,ST. JOHNS,q4812se,"EAST COAST, UPPER",,19034
-81.20491154,29.52530383,SJ7-SS-2162,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,31,31.0737,81,12,17.6704,T  11    S R  31    E 29,FLAGLER,q4510sw,"EAST COAST, UPPER",,19035
-81.30886549,29.70005921,SJ7-SS-2163,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,42,0.1929,81,18,31.9045,T   9    S R  30    E 19,ST. JOHNS,q4611ne,"EAST COAST, UPPER",,19036
-81.03902101,29.23144282,SJ7-SS-2164,SJRWMD-7,STREAM,UNNAMED SMALL STREAM,Yes,29,13,53.1743,81,2,20.4647,T  15    S R  33    E 0,VOLUSIA,q4209ne,"EAST COAST, UPPER",,19037
